Date,Startup Name,Vertical,Sub Vertical,City,Investor,Round,Amount in Rs.,Month,Year
2016-03-14,pinkblue,ecommerce,medical supplies etailer,bangalore,"hari krishna, ajay modani, dr v ravinder, anirudh rastogi, abhishek jain, rakesh gakhar, rajeev mudumba, nagendra prasad bhanuprakash",Seed Funding,0.03,3.0,2016.0
2016-03-14,truckingcube,logistics,"domestic, commercial, and industrial goods movers",new delhi,agarwal movers group,Private Equity,124.42,3.0,2016.0
2016-03-15,flipclass,consumer internet,tutor search platform,bangalore,"s chand and co pvt ltd, blume ventures",Private Equity,8.35,3.0,2016.0
2016-03-15,proximit,technology,advertising technology,pune,funding through 1crowd platform,Seed Funding,1.25,3.0,2016.0
2016-03-15,withme,consumer internet,personalized fashion app,gurgaon,"alex kuruvilla, pradeep guha, saket dhankar, rajan pandhare",Seed Funding,0.42,3.0,2016.0
2016-03-16,gapoon,consumer internet,hyperlocal home maintenance services,bangalore,"chandrashekar tallapragada, pankaj kapoor",Seed Funding,1.5,3.0,2016.0
2016-03-16,wealthy,consumer internet,online investment management portal,bangalore,"zishaan hayath, abhishek goyal, arjun and rohan malhotra, harpreet singh grover, gagan dugal",Seed Funding,0.42,3.0,2016.0
2016-03-17,qlivery,consumer internet,ondemand concierge service,gurgaon,swastika company ltd.,Seed Funding,0.25,3.0,2016.0
2016-03-17,healthenablr,consumer internet,doctor discovery and booking platform,mumbai,undisclosed investors,Seed Funding,6.68,3.0,2016.0
2016-03-17,liftiee,consumer internet,car/ bike pooling app,mumbai,"rannvijay singh, anita hassanandani",Seed Funding,0.9,3.0,2016.0
2016-03-18,hello curry,food & beverage,quick service restaurant chain,hyderabad,sashi reddi & other unnamed investors,Private Equity,12.53,3.0,2016.0
2016-03-19,gosporto,consumer internet,online sports discovery and booking platform,new delhi,naveen gupta,Seed Funding,0.25,3.0,2016.0
2016-03-22,bigbasket,ecommerce,online grocery shop,bangalore,abraaj group,Private Equity,1252.5,3.0,2016.0
2016-03-22,drivojoy,consumer internet,on-demand 2-wheeler servicing platform,bangalore,"indian angel network, tracxn labs & others",Seed Funding,5.01,3.0,2016.0
2016-03-22,creditseva,consumer internet,online credit management tools,hyderabad,"pix vine capital, infocomm development authority of singapore",Seed Funding,3.01,3.0,2016.0
2016-03-23,endless robotics,technology,interior painting automation,hyderabad,"devidas desai, vipul gautam, singapore angel network",Seed Funding,0.83,3.0,2016.0
2016-03-23,sp robotics,technology,robotic classes for students,chennai,indian angel network,Seed Funding,2.5,3.0,2016.0
2016-03-23,ekincare,consumer internet,healthcare related solutions,hyderabad,"bitchemy ventures, maheshwari investments pvt ltd, anshoo gaur, rama krishna reddy, sandeep seerapu",Private Equity,2.76,3.0,2016.0
2016-03-23,wheelstreet,consumer internet,online bike rental platform,bangalore,broadbean capital services,Private Equity,4.17,3.0,2016.0
2016-03-24,horntell,consumer internet,unified push notification service,gurgaon,"bharanidharan viswanathan, sanjiv mittal, shobhit shukla, rahul agarwal",Seed Funding,1.25,3.0,2016.0
2016-03-28,schoolkart,ecommerce,online marketplace for schools,noida,undisclosed investors,Seed Funding,2.5,3.0,2016.0
2016-03-29,babygogo,consumer internet,child healthcare experts aggregator mobile app,new delhi,"rajul garg, daljit singh, aditya vij, kishore kumar, shuchin bajaj",Seed Funding,2.5,3.0,2016.0
2016-03-29,veritas finance,finance,asset based lending platform,chennai,sarva capital,Private Equity,39.24,3.0,2016.0
2016-03-29,fixnix,consumer internet,grc saas platform,chennai,jay vijayan,Seed Funding,4.17,3.0,2016.0
2016-03-30,touchkin,healthcare,predictive healthcare platform,bangalore,"alok mittal, amit gupta, anuj srivastava, himanshu aggarwal, raghunandan g, puneet agarwal",Seed Funding,3.34,3.0,2016.0
2016-02-02,altizone,technology,iot & m2m solutions,pune,"wipro ventures,\\xc2\\xa0 lumis partners",Private Equity,33.4,2.0,2016.0
2016-02-02,strike,consumer internet,mobile email productivity tool,bangalore,multiple investors through ten minute million competition,Seed Funding,0.0,2.0,2016.0
2016-02-02,maaxmarket,consumer internet,marketing automation platform,,multiple investors through ten minute million competition,Seed Funding,0.0,2.0,2016.0
2016-02-02,gamooz,technology,augmented reality solutions,gurgaon,multiple investors through ten minute million competition,Seed Funding,0.0,2.0,2016.0
2016-02-02,soundsurround,technology,audio technology solutions,mumbai,multiple investors through ten minute million competition,Seed Funding,0.0,2.0,2016.0
2016-02-03,mazkara,consumer internet,beauty & wellness platform,pune / dubai,dunamis ventures pte ltd,Seed Funding,8.35,2.0,2016.0
2016-02-03,roadgods,ecommerce,auto spare parts etailer,new delhi,green house ventures (ghv),Seed Funding,0.83,2.0,2016.0
2016-02-03,pindropmusic,consumer internet,music discovery mobile app,noida,green house ventures (ghv),Seed Funding,0.83,2.0,2016.0
2016-02-03,woodpie,consumer internet,book recommendation service,bangalore,ingram content group,Seed Funding,0.25,2.0,2016.0
2016-02-04,perfumery,ecommerce,fragrances & perfume etailer,new delhi,oranda global & others,Seed Funding,0.25,2.0,2016.0
2016-02-05,zendrive,technology,safe driving data & analytics platform,sfo / bangalore,"sherpa capital, nyca partners and thomvest ventures",Private Equity,112.72,2.0,2016.0
2016-02-05,gingercrush,ecommerce,personalized products & merchandize etailer,vadodara,"saha fund, tv mohandas pai, zia mody, mumbai angels, ananda kallugadde, rakesh desai, rakesh malhotra",Private Equity,8.35,2.0,2016.0
2016-02-05,american vision,consumer internet,optical store aggregator platform,pune,undisclosed investors,Seed Funding,0.68,2.0,2016.0
2016-02-05,dawailelo,consumer internet,healthcare services & online pharmacy mobile app,varanasi,undisclosed investors,Seed Funding,0.43,2.0,2016.0
2016-02-06,heads up for tails,ecommerce,pet products etailer,new delhi,undisclosed investors,Seed Funding,8.35,2.0,2016.0
2016-02-08,istyleyou,consumer internet,personal fashion stylist app,gurgaon,green house ventures (ghv),Seed Funding,0.83,2.0,2016.0
2016-02-08,adurcup,consumer internet,ad network,new delhi,green house ventures (ghv),Seed Funding,0.83,2.0,2016.0
2016-02-08,xpressbees,ecommerce,ecommerce logistics solutions,pune,"saif partners, idg ventures india, vertex ventures, valiant capital",Private Equity,104.38,2.0,2016.0
2016-02-10,affimity,consumer internet,social networking platform,bangalore,undisclosed investors,Seed Funding,10.02,2.0,2016.0
2016-02-10,anandakanda,technology,medicine intake reminder system,pune,undisclosed investors,Seed Funding,1.25,2.0,2016.0
2016-02-12,actonmagic,technology,cloud analytics and management products,bangalore,jayabalan subramanian,Seed Funding,1.04,2.0,2016.0
2016-02-12,bonhomia,food & beverage,premium tea and coffee,new delhi,"alok rawat, grey orange robotics",Seed Funding,8.35,2.0,2016.0
2016-02-12,igrenenergi,technology,solar power solutions,mumbai,sunil mehta,Seed Funding,8.35,2.0,2016.0
2016-02-12,rksv,consumer internet,online stock trading platform,mumbai,kalaari capital,Private Equity,33.4,2.0,2016.0
2016-02-15,aasaanjobs,consumer internet,online recruitment marketplace,mumbai,"aspada advisors, idg ventures,\\xc2\\xa0 inventus capital",Private Equity,41.75,2.0,2016.0
2016-02-15,goyano,consumer internet,events & restaurant discovery marketplace app,gurgaon,mukesh kumar gupta,Seed Funding,0.42,2.0,2016.0
2016-02-15,rentsher,consumer internet,online household product rental platform,bangalore,"vaibhav doshi, abhay singhal, vibhu garg, joby babu, abhishek acharya, manish shah",Seed Funding,2.5,2.0,2016.0
2016-02-15,buddy,finance,micro lending platform for ecommerce purchases,bangalore,"blume ventures,\\xc2\\xa0 tracxn labs",Seed Funding,4.17,2.0,2016.0
2016-02-16,tablehero,consumer internet,dynamic restaurant website creator,bangalore,"growx ventures, kunal shah, sandeep tandon, haresh chawla, powai lake ventures, globevestor",Seed Funding,8.35,2.0,2016.0
2016-02-16,betterplace,technology,data analytics based verification services platform,bangalore,unitus seed fund,Seed Funding,8.1,2.0,2016.0
2016-02-16,icustommadeit,ecommerce,professional custom creators marketplace,pune,"brand capital, siddhivinayak skyscrapers, dinesh r. challa",Private Equity,33.4,2.0,2016.0
2016-02-17,gamezop,technology,mobile gaming platform,new delhi,"kwan entertainment & marketing solutions, powerhouse ventures & others",Seed Funding,2.92,2.0,2016.0
2016-02-17,the viral fever,consumer internet,independent online video production company,mumbai,tiger global,Private Equity,83.5,2.0,2016.0
2016-02-17,avanti learning,education,private coaching classes,new delhi,michael & susan dell foundation,Private Equity,41.75,2.0,2016.0
2016-02-18,healthkumbh,consumer internet,health related information portal,ahmedabad,undisclosed investor,Seed Funding,0.61,2.0,2016.0
2016-02-18,careongo,ecommerce,online pharmacy store,new delhi,farooq oomerbhoy & other angel investors,Seed Funding,2.5,2.0,2016.0
2016-02-18,ark robot,technology,warehouse automation,bangalore,qualcomm (through qprize contest),Seed Funding,2.92,2.0,2016.0
2016-02-19,jaypore,ecommerce,ethnic products marketplace,new delhi,aavishkaar,Private Equity,41.75,2.0,2016.0
2016-02-19,advantage club,consumer internet,mobile platform for corporate employee benefits,gurgaon,purvi ventures & others,Seed Funding,3.34,2.0,2016.0
2016-02-22,baby berry,consumer internet,parenting mobile app,bangalore,nitin bagmane & other undisclosed investors,Seed Funding,8.35,2.0,2016.0
2016-02-22,magicpin,consumer internet,hyperlocal discover mobile app,new delhi,lightspeed india,Private Equity,25.05,2.0,2016.0
2016-02-22,first eat,consumer internet,healthy food delivery platform,new delhi,undisclosed investor,Seed Funding,0.83,2.0,2016.0
2016-02-22,taskbob,consumer internet,hyperlocal handyman services platform,mumbai,"ivycap ventures, orios venture partners, mayfield india",Private Equity,37.58,2.0,2016.0
2016-02-22,styledotme,consumer internet,mobile fashion app,new delhi,indian angel network,Seed Funding,0.31,2.0,2016.0
2016-02-23,cuponation,consumer internet,deals and discount platform,gurgaon,"rocket internet ag, holtzbrink ventures, new enterprise associates (nea), e.ventures, ru-net, deutsche telekom strategic investments (dtsi), silicon valley bank",Private Equity,91.85,2.0,2016.0
2016-02-24,sayfix,consumer internet,hyperlocal home services provider,bangalore,yajnanarayana kammaje,Seed Funding,1.34,2.0,2016.0
2016-02-24,nobroker,consumer internet,peer to peer property listing platform,bangalore,"beenext, digital garage, beenos, qualgro, mamoru taniya, saif partners",Private Equity,83.5,2.0,2016.0
2016-02-24,appilyever,consumer internet,online wedding services marketplace,hyderabad,"varun aggarwal, suresh venkat, raj y",Seed Funding,3.34,2.0,2016.0
2016-02-24,pocketin,consumer internet,hotel reservations & deal platform,noida,swastika company ltd.,Seed Funding,1.25,2.0,2016.0
2016-02-25,ofbusiness,ecommerce,b2b commerce marketplace,gurgaon,matrix partners india,Private Equity,41.75,2.0,2016.0
2016-02-25,juspay,consumer internet,digital payments solutions,bangalore,"accel partners, ashish hemrajani, parikshit dar, rajesh balpande",Private Equity,48.43,2.0,2016.0
2016-02-25,funcart,ecommerce,party supplies etailer,new delhi,undisclosed hnis,Seed Funding,0.58,2.0,2016.0
2016-02-26,freedom smart labs,technology,iot retail solutions,new delhi,kapil goel,Seed Funding,1.21,2.0,2016.0
2016-02-26,edubridge,consumer internet,skill development and vocational training platform,mumbai,"insitor impact asia fund, acumen fund",Private Equity,4.17,2.0,2016.0
2016-02-29,hopscotch,ecommerce,baby & kids products online flash sales platform,mumbai,eduardo saverin,Private Equity,108.55,2.0,2016.0
2016-01-04,b9 beverages,food & beverage,craft beer manufacturing company,new delhi,"sequoia capital, kunal bahl, rohit bansal, deepinder goyal, ashish dhawan, mayank singhal",Private Equity,50.1,1.0,2016.0
2016-01-05,mychild app,education,child disorder information & education,bhopal,"samir bangara, anisha mittal, amit gupta, pallav nadhani, lalit mangal, arihant patni, dr. ritesh malik, deobrat singh, saurab paruthi, singapore angel network.",Seed Funding,0.83,1.0,2016.0
2016-01-05,360ride,consumer internet,ride sharing platform,bangalore,undisclosed,Seed Funding,1.25,1.0,2016.0
2016-01-05,alef\\nmobitech,consumer internet,cloud mobility solutions,mumbai,tata capital innovation fund,Private Equity,41.75,1.0,2016.0
2016-01-06,sensara,technology,"tv search, guide and remote mobile app",bangalore,"lalitesh katragadda,\\xc2\\xa0 ganayantrika systems",Seed Funding,6.26,1.0,2016.0
2016-01-06,zebpay,consumer internet,bitcoin buying & selling mobile app,ahmedabad,"arjun handa, amit jindal, nagendra chaudhary",Private Equity,8.35,1.0,2016.0
2016-01-06,planmy\\nmedicaltrip,healthcare,medical tourism platform,pune,"bhanu vikram parsotam, rohan desai and paras patel",Seed Funding,1.25,1.0,2016.0
2016-01-06,mycity4kids,education,children education & information platform,gurgaon,"sidbi venture capital limited, yournest angel fund",Private Equity,25.05,1.0,2016.0
2016-01-06,justdakhila,education,school student admissions platform,new delhi,ankur gupta,Seed Funding,6.26,1.0,2016.0
2016-01-07,infurnia,consumer internet,online furniture customization platform,bangalore,idein ventures,Seed Funding,1.34,1.0,2016.0
2016-01-07,myly,education,mobile based education platform,jaipur,newbie promoter pvt ltd,Seed Funding,0.83,1.0,2016.0
2016-01-07,makemytrip,consumer internet,online travel/hotel booking platform,gurgaon,ctrip.com international ltd,Private Equity,1503.0,1.0,2016.0
2016-01-08,melorra,ecommerce,online/ mobile jewellery retailer,bangalore,lightbox ventures,Private Equity,41.75,1.0,2016.0
2016-01-08,confirmtkt,consumer internet,train pnr status prediction platform,bangalore,"krishna jhujhunwala, dr. apoorv ranjan sharma, anirudh damani, anand ladsariya, sanjay mehta & others",Seed Funding,0.42,1.0,2016.0
2016-01-08,gyaanzone,education,career planning and education advisory platform,mumbai,gbim technologies pvt ltd,Seed Funding,0.38,1.0,2016.0
2016-01-11,koovs,ecommerce,online fashion apparel retailer,gurgaon,"nahata family, waheed alli",Private Equity,45.09,1.0,2016.0
2016-01-11,freshmenu,consumer internet,online / mobile food ordering platform,bangalore,"zodius capital, lightspeed venture partners",Private Equity,137.78,1.0,2016.0
2016-01-11,savvymob,ecommerce,last minute hotel bookings mobile marketplace,bangalore,"tv mohandas pai, letsventure",Seed Funding,8.35,1.0,2016.0
2016-01-12,shopclues,ecommerce,ecommerce marketplace,gurgaon,"gic, tiger global management, nexus venture partners",Private Equity,835.0,1.0,2016.0
2016-01-12,ibus networks,technology,next generation in-building connectivity,bangalore,"vallabh bhanshali, n squared management llc, jagdish & sandeep mehta family office",Private Equity,2.5,1.0,2016.0
2016-01-12,happy2refer,consumer internet,mobile based referral platform,mumbai,"equity crest, vinners, sparknext",Seed Funding,0.42,1.0,2016.0
2016-01-13,cartrade,consumer internet,auto classifieds portal,mumbai,"temasek holdings, march capital, warburg pincus",Private Equity,1210.75,1.0,2016.0
2016-01-13,rentomo,consumer internet,peer-to-peer renting marketplace,bangalore,shiva ashok & other unnamed investors,Seed Funding,0.83,1.0,2016.0
